"","Linf","length_type","K","t0","sex","temp","Lm","","omega","country","locality","questionable","captive","NA","NA"
"171",88.2,"TL",0.12,-1.37,NA,NA,NA,NA,2.97,"Russia","Enisey river","No","No","Acipenser_ruthenus",4604
"172",205.4,"TL",0.06,-0.92,NA,NA,NA,NA,3.4,"Russia","Amur river","No","No","Acipenser_schrenckii",6085
"173",159.4,"TL",0.17,-0.4,"",NA,NA,NA,3.64,"Russia","Sea of Azov","No","No","Acipenser_stellatus",2065
"174",192,"TL",0.05,-10,"F",NA,NA,NA,3.3,"Romania","Danube","Yes","No","Acipenser_stellatus",2065
"175",194,"TL",0.05,-10,"M",NA,NA,NA,3.28,"Romania","Danube","Yes","No","Acipenser_stellatus",2065
"176",201,"TL",0.06,NA,"",0.16,14.3,NA,3.38,"Romania","","No","No","Acipenser_stellatus",2065
"177",231,"TL",0.11,-1.36,NA,NA,NA,NA,3.76,"France","Gironde estuary","Yes","No","Acipenser_sturio",2066
"178",500,"TL",0.03,-2.8,NA,NA,NA,NA,3.88,"","Europe (not specified)","No","No","Acipenser_sturio",2066
"179",276,"FL",0.03,-1.13,NA,0.11,15,160,3.42,"USA","Lower Columbia River","No","No","Acipenser_transmontanus",2594
"180",300,"TL",0.06,NA,NA,0.03,22,112,3.73,"Mexico","Gulf of California","No","No","Acipenser_transmontanus",2594
"181",350,"TL",0.04,NA,NA,NA,10,NA,3.69,"Canada","Fraser River, British Columbia","No","No","Acipenser_transmontanus",2594
"182",11.8,"TL",0.86,NA,NA,NA,NA,NA,2.08,"Indonesia","Ose and Marsegu Islands (Mar 1988-Jan 1999)","No","No","Acreichthys_tomentosus",7849
"183",2.5,"TL",2.42,NA,NA,NA,NA,NA,1.18,"USA","Key Biscayne, Miami, Florida","No","Yes","Acyrtops_beryllinus",3073
"184",4.1,"TL",8.51,NA,NA,NA,NA,NA,2.16,NA,"aquarium","Yes","Yes","Agamyxis_albomaculatus",13258
"185",47.9,"TL",0.29,NA,NA,NA,20,NA,2.82,"Argentina","Puerto Sánchez, Rio Paraná","No","No","Ageneiosus_militaris",53698
"186",35,"TL",0.26,NA,NA,NA,NA,NA,2.5,"Brazil","Itaipu reservoir","No","No","Ageneiosus_ucayalensis",48607
"187",35,"TL",0.41,NA,NA,NA,NA,NA,2.7,"Brazil","Itaipu reservoir","No","No","Ageneiosus_ucayalensis",48607
"188",15,"TL",0.48,-0.15,NA,1.4,12,NA,2.03,"France","Seine Bight, Normandy Coast","No","No","Agonus_cataphractus",36
"189",54.9,"OT",0.02,-7.54,"F",NA,NA,26,1.82,"Alaska","Gulf of Alaska","No","No","Albatrossia_pectoralis",8435
"190",94.2,"TL",0.2,NA,"M",NA,NA,NA,3.25,"Russia","Pacific waters off the northern Kuril Isl. And southeastern Kamchatka","Yes","No","Albatrossia_pectoralis",8435
"191",116.9,"",0.15,-0.42,"F",NA,NA,NA,3.31,"Russia","Kuril Islands","No","No","Albatrossia_pectoralis",8435
"192",121.5,"TL",0.16,0.13,"F",NA,NA,NA,3.37,"USA","Western Gulf of Alaska","No","No","Albatrossia_pectoralis",8435
"193",126.9,"TL",0.12,NA,"F",NA,NA,NA,3.29,"Russia","Pacific waters off the northern Kuril Isl. And southeastern Kamchatka","No","No","Albatrossia_pectoralis",8435
"194",128.7,"TL",0.13,0.23,"F",NA,NA,NA,3.33,"USA","Eastern Bering Sea","No","No","Albatrossia_pectoralis",8435
"195",134.4,"TL",0.17,0.82,"",NA,NA,NA,3.49,"Russia","Kurils and Kamchatka","Yes","No","Albatrossia_pectoralis",8435
"196",137.4,"TL",0.12,0.13,"F",NA,NA,NA,3.36,"Russia","East Kamchatka","No","No","Albatrossia_pectoralis",8435
"197",27.8,"SL",0.49,-1.45,"",NA,23,NA,2.57,"Mexico","Guyamas, Sonora (27°54-58'N, 110°57'-111°W)","Yes","No","Albula_vulpes",228
"198",66.3,"FL",0.22,NA,"",NA,24,NA,2.99,"USA","South Florida","No","No","Albula_vulpes",228
"199",67.1,"FL",0.24,-1.32,"M",NA,25.9,NA,3.04,"USA","Florida Keys","No","No","Albula_vulpes",228
"200",68.1,"FL",0.28,-0.93,"F",NA,25.9,NA,3.11,"USA","Florida Keys","No","No","Albula_vulpes",228
